Frame,Dev_mm_raw,Dev_mm_smooth
278,-6.081,-6.116
279,-6.081,-6.067
280,-6.081,-6.060
281,-6.032,-6.053
282,-6.032,-6.046
283,-6.032,-6.039
284,-6.032,-6.032
285,-6.032,-5.990
286,-6.032,-5.920
287,-6.032,-5.850
288,-5.738,-5.780
289,-5.542,-5.710
290,-5.542,-5.640
291,-5.542,-5.570
292,-5.542,-5.542
293,-5.542,-5.542
294,-5.542,-5.542
295,-5.542,-5.542
296,-5.542,-5.542
297,-5.542,-5.542
298,-5.542,-5.542
299,-5.542,-5.542
300,-5.542,-5.542
301,-5.542,-5.542
302,-5.542,-5.542
303,-5.542,-5.542
304,-5.542,-5.542
305,-5.542,-5.542
306,-5.542,-5.542
307,-5.542,-5.542
308,-5.542,-5.542
309,-5.542,-5.542
310,-5.542,-5.542
311,-5.542,-5.542
312,-5.542,-5.542
313,-5.542,-5.542
314,-5.542,-5.542
315,-5.542,-5.542
316,-5.542,-5.542
317,-5.542,-5.542
318,-5.542,-5.542
319,-5.542,-5.542
320,-5.542,-5.542
321,-5.542,-5.542
322,-5.542,-5.542
323,-5.542,-5.542
324,-5.542,-5.542
325,-5.542,-5.542
326,-5.542,-5.542
327,-5.542,-5.542
328,-5.542,-5.542
329,-5.542,-5.542
330,-5.542,-5.542
331,-5.542,-5.542
332,-5.542,-5.542
333,-5.542,-5.542
334,-5.542,-5.542
335,-5.542,-5.542
336,-5.542,-5.542
337,-5.542,-5.542
338,-5.542,-5.542
339,-5.542,-5.542
340,-5.542,-5.542
341,-5.542,-5.542
342,-5.542,-5.542
343,-5.542,-5.542
344,-5.542,-5.542
345,-5.542,-5.542
346,-5.542,-5.542
347,-5.542,-5.542
348,-5.542,-5.542
349,-5.542,-5.542
350,-5.542,-5.542
351,-5.542,-5.542
352,-5.542,-5.542
353,-5.542,-5.542
354,-5.542,-5.542
355,-5.542,-5.542
356,-5.542,-5.542
357,-5.542,-5.542
358,-5.542,-5.542
359,-5.542,-5.542
360,-5.542,-5.535
361,-5.542,-5.429
362,-5.542,-3.846
363,-5.492,-3.307
364,-4.806,-2.627
365,5.542,-1.913
366,-1.765,-1.198
367,-0.785,-0.490
368,-0.539,0.119
369,-0.539,-0.750
370,-0.539,-0.574
371,-0.539,-0.539
372,-0.539,-0.539
373,-0.539,-0.539
374,-0.539,-0.546
375,-0.539,-0.553
376,-0.539,-0.560
377,-0.588,-0.539
378,-0.588,-0.469
379,-0.588,-0.399
380,-0.392,-0.329
381,-0.049,-0.252
382,-0.049,-0.175
383,-0.049,-0.098
384,-0.049,-0.049
385,-0.049,-0.049
386,-0.049,-0.049
387,-0.049,-0.049
388,-0.049,-0.049
389,-0.049,-0.049
390,-0.049,-0.049
391,-0.049,-0.049
392,-0.049,-0.049
393,-0.049,-0.049
394,-0.049,-0.049
395,-0.049,-0.049
396,-0.049,-0.049
397,-0.049,-0.042
398,-0.049,-0.035
399,-0.049,-0.028
400,0.000,-0.021
401,0.000,-0.014
402,0.000,-0.007
403,0.000,0.000
404,0.000,0.000
405,0.000,0.000
406,0.000,0.000
407,0.000,0.000
408,0.000,0.000
409,0.000,0.000
410,0.000,0.000
411,0.000,0.000
412,0.000,0.000
413,0.000,0.000
414,0.000,0.000
415,0.000,0.000
416,0.000,0.000
417,0.000,0.000
418,0.000,0.000
419,0.000,0.000
420,0.000,0.000
421,0.000,0.000
422,0.000,0.000
423,0.000,0.000
424,0.000,0.000
425,0.000,0.000
426,0.000,-0.007
427,0.000,-0.007
428,0.000,-0.007
429,-0.049,-0.014
430,0.000,-0.021
431,0.000,-0.021
432,-0.049,-0.021
433,-0.049,-0.014
434,0.000,-0.014
435,0.000,-0.014
436,0.000,-0.007
437,0.000,0.000
438,0.000,0.000
439,0.000,0.000
440,0.000,-0.007
441,0.000,-0.014
442,0.000,-0.021
443,-0.049,-0.028
444,-0.049,-0.035
445,-0.049,-0.042
446,-0.049,-0.049
447,-0.049,-0.049
448,-0.049,-0.049
449,-0.049,-0.049
450,-0.049,-0.049
451,-0.049,-0.049
452,-0.049,-0.049
453,-0.049,-0.084
454,-0.049,-0.315
455,-0.049,-0.813
456,-0.294,-1.492
457,-1.667,-2.270
458,-3.531,-3.076
459,-4.806,-3.881
460,-5.492,-4.652
461,-5.689,-5.226
462,-5.689,-5.535
463,-5.689,-5.661
464,-5.689,-5.689
465,-5.689,-5.689
466,-5.689,-5.689
467,-5.689,-5.689
468,-5.689,-5.689
469,-5.689,-5.689
470,-5.689,-5.689
471,-5.689,-5.689
472,-5.689,-5.689
473,-5.689,-5.689
474,-5.689,-5.689
475,-5.689,-5.689
476,-5.689,-5.689
477,-5.689,-5.689
478,-5.689,-5.689
479,-5.689,-5.689
480,-5.689,-5.682
481,-5.689,-5.682
482,-5.689,-5.682
483,-5.640,-5.682
484,-5.689,-5.682
485,-5.689,-5.682
486,-5.689,-5.682
487,-5.689,-5.682
488,-5.689,-5.682
489,-5.689,-5.682
490,-5.640,-5.682
491,-5.689,-5.682
492,-5.689,-5.682
493,-5.689,-5.682
494,-5.689,-5.689
495,-5.689,-5.689
496,-5.689,-5.682
497,-5.689,-5.675
498,-5.689,-5.668
499,-5.640,-5.661
500,-5.640,-5.654
501,-5.640,-5.647
502,-5.640,-5.640
503,-5.640,-5.640
504,-5.640,-5.647
505,-5.640,-5.654
506,-5.640,-5.661
507,-5.689,-5.668
508,-5.689,-5.675
509,-5.689,-5.682
510,-5.689,-5.689
511,-5.689,-5.689
512,-5.689,-5.689
513,-5.689,-5.689
514,-5.689,-5.689
515,-5.689,-5.689
516,-5.689,-5.689
517,-5.689,-5.689
518,-5.689,-5.689
519,-5.689,-5.689
520,-5.689,-5.689
521,-5.689,-5.689
522,-5.689,-5.689
523,-5.689,-5.689
524,-5.689,-5.689
525,-5.689,-5.689
526,-5.689,-5.689
527,-5.689,-5.689
528,-5.689,-5.689
529,-5.689,-5.689
530,-5.689,-5.689
531,-5.689,-5.689
532,-5.689,-5.689
533,-5.689,-5.689
534,-5.689,-5.689
535,-5.689,-5.689
536,-5.689,-5.689
537,-5.689,-5.689
538,-5.689,-5.689
539,-5.689,-5.689
540,-5.689,-5.689
541,-5.689,-5.689
542,-5.689,-5.689
543,-5.689,-5.689
544,-5.689,-5.689
545,-5.689,-5.689
546,-5.689,-5.808
547,-5.689,-6.144
548,-5.689,-6.711
549,-6.522,-7.419
550,-8.043,-8.204
551,-9.661,-8.988
552,-10.642,-9.773
553,-11.181,-10.439
554,-11.181,-10.887
555,-11.181,-11.104
556,-11.181,-11.181
557,-11.181,-11.181
558,-11.181,-11.181
559,-11.181,-11.181
560,-11.181,-11.181
561,-11.181,-11.181
562,-11.181,-11.181
563,-11.181,-11.181
564,-11.181,-11.181
565,-11.181,-11.181
566,-11.181,-11.181
567,-11.181,-11.181
568,-11.181,-11.181
569,-11.181,-11.181
570,-11.181,-11.181
571,-11.181,-11.181
572,-11.181,-11.181
573,-11.181,-11.181
574,-11.181,-11.181
575,-11.181,-11.181
576,-11.181,-11.181
577,-11.181,-11.181
578,-11.181,-11.181
579,-11.181,-11.181
580,-11.181,-11.181
581,-11.181,-11.181
582,-11.181,-11.181
583,-11.181,-11.181
584,-11.181,-11.181
585,-11.181,-11.181
586,-11.181,-11.181
587,-11.181,-11.181
588,-11.181,-11.181
589,-11.181,-11.181
590,-11.181,-11.181
591,-11.181,-11.181
592,-11.181,-11.181
593,-11.181,-11.181
594,-11.181,-11.181
595,-11.181,-11.181
596,-11.181,-11.181
597,-11.181,-11.181
598,-11.181,-11.181
599,-11.181,-11.174
600,-11.181,-11.167
601,-11.181,-11.160
602,-11.132,-11.153
603,-11.132,-11.146
604,-11.132,-11.146
605,-11.132,-11.146
606,-11.132,-11.153
607,-11.181,-11.160
608,-11.181,-11.167
609,-11.181,-11.174
610,-11.181,-11.181
611,-11.181,-11.181
612,-11.181,-11.181
613,-11.181,-11.181
614,-11.181,-11.181
615,-11.181,-11.181
616,-11.181,-11.181
617,-11.181,-11.181
618,-11.181,-11.181
619,-11.181,-11.181
620,-11.181,-11.181
621,-11.181,-11.181
622,-11.181,-11.181
623,-11.181,-11.181
624,-11.181,-11.181
625,-11.181,-11.181
626,-11.181,-11.181
627,-11.181,-11.181
628,-11.181,-11.181
629,-11.181,-11.181
630,-11.181,-11.181
631,-11.181,-11.181
632,-11.181,-11.181
633,-11.181,-11.181
634,-11.181,-11.181
635,-11.181,-11.181
636,-11.181,-11.181
637,-11.181,-11.181
638,-11.181,-11.153
639,-11.181,-10.978
640,-11.181,-10.565
641,-10.985,-9.948
642,-9.955,-9.227
643,-8.288,-8.498
644,-6.866,-7.769
645,-6.130,-7.069
646,-6.081,-6.515
647,-6.081,-6.200
648,-6.081,-6.088
649,-6.081,-6.074
650,-6.081,-6.067
651,-6.081,-6.060
652,-6.032,-6.053
653,-6.032,-6.046
654,-6.032,-6.039
655,-6.032,-5.969
656,-6.032,-5.906
657,-6.032,-5.843
658,-5.591,-5.780
659,-5.591,-5.717
660,-5.591,-5.654
661,-5.591,-5.591
662,-5.591,-5.591
663,-5.591,-5.591
664,-5.591,-5.591
665,-5.591,-5.591
666,-5.591,-5.591
667,-5.591,-5.584
668,-5.591,-5.577
669,-5.591,-5.570
670,-5.542,-5.563
671,-5.542,-5.556
672,-5.542,-5.549
673,-5.542,-5.542
674,-5.542,-5.542
675,-5.542,-5.542
676,-5.542,-5.542
677,-5.542,-5.542
678,-5.542,-5.542
679,-5.542,-5.542
680,-5.542,-5.542
681,-5.542,-5.542
682,-5.542,-5.542
683,-5.542,-5.542
684,-5.542,-5.542
685,-5.542,-5.542
686,-5.542,-5.542
687,-5.542,-5.542
688,-5.542,-5.542
689,-5.542,-5.542
690,-5.542,-5.542
691,-5.542,-5.542
692,-5.542,-5.542
693,-5.542,-5.542
694,-5.542,-5.542
695,-5.542,-5.542
696,-5.542,-5.542
697,-5.542,-5.542
698,-5.542,-5.542
699,-5.542,-5.542
700,-5.542,-5.542
701,-5.542,-5.542
702,-5.542,-5.542
703,-5.542,-5.542
704,-5.542,-5.542
705,-5.542,-5.542
706,-5.542,-5.542
707,-5.542,-5.542
708,-5.542,-5.542
709,-5.542,-5.542
710,-5.542,-5.542
711,-5.542,-5.542
712,-5.542,-5.542
713,-5.542,-5.542
714,-5.542,-5.542
715,-5.542,-5.542
716,-5.542,-5.542
717,-5.542,-5.542
718,-5.542,-5.542
719,-5.542,-5.542
720,-5.542,-5.542
721,-5.542,-5.542
722,-5.542,-5.542
723,-5.542,-5.542
724,-5.542,-5.542
725,-5.542,-5.542
726,-5.542,-5.542
727,-5.542,-5.542
728,-5.542,-5.549
729,-5.542,-5.556
730,-5.542,-5.521
731,-5.591,-5.331
732,-5.591,-4.897
733,-5.296,-4.280
734,-4.217,-3.573
735,-2.501,-2.858
736,-1.226,-2.144
737,-0.588,-1.471
738,-0.588,-0.953
739,-0.588,-0.680
740,-0.588,-0.588
741,-0.588,-0.588
742,-0.588,-0.588
743,-0.588,-0.588
744,-0.588,-0.588
745,-0.588,-0.588
746,-0.588,-0.581
747,-0.588,-0.504
748,-0.588,-0.427
749,-0.539,-0.350
750,-0.049,-0.273
751,-0.049,-0.196
752,-0.049,-0.119
753,-0.049,-0.049
754,-0.049,-0.049
755,-0.049,-0.042
756,-0.049,-0.035
757,-0.049,-0.035
758,0.000,-0.035
759,0.000,-0.035
760,-0.049,-0.035
761,-0.049,-0.035
762,-0.049,-0.042
763,-0.049,-0.049
764,-0.049,-0.049
765,-0.049,-0.049
766,-0.049,-0.049
767,-0.049,-0.049
768,-0.049,-0.042
769,-0.049,-0.035
770,-0.049,-0.028
771,0.000,-0.021
772,0.000,-0.014
773,0.000,-0.007
774,0.000,0.000
775,0.000,0.000
776,0.000,0.000
777,0.000,0.000
778,0.000,0.000
779,0.000,0.000
780,0.000,0.000
781,0.000,0.000
782,0.000,0.000
783,0.000,0.000
784,0.000,0.000
785,0.000,0.000
786,0.000,0.000
787,0.000,0.000
788,0.000,0.000
789,0.000,0.000
790,0.000,0.000
791,0.000,0.000
792,0.000,0.000
793,0.000,0.000
794,0.000,0.000
795,0.000,0.000
796,0.000,0.000
797,0.000,0.000
798,0.000,0.000
799,0.000,0.000
800,0.000,0.000
801,0.000,0.000
802,0.000,0.000
803,0.000,0.000
804,0.000,0.000
805,0.000,0.000
806,0.000,0.000
807,0.000,0.000
808,0.000,0.000
809,0.000,0.000
810,0.000,0.000
811,0.000,0.000
812,0.000,0.000
813,0.000,0.000
814,0.000,0.000
815,0.000,0.000
816,0.000,0.000
817,0.000,0.000
818,0.000,0.000
819,0.000,0.000
820,0.000,0.000
821,0.000,0.000
822,0.000,-0.014
823,0.000,-0.189
824,0.000,-0.617
825,-0.098,-1.254
826,-1.226,-2.011
827,-2.991,-2.823
828,-4.463,-3.636
829,-5.296,-4.435
830,-5.689,-5.072
831,-5.689,-5.457
832,-5.689,-5.633
833,-5.689,-5.689
834,-5.689,-5.689
835,-5.689,-5.689
836,-5.689,-5.689
837,-5.689,-5.689
838,-5.689,-5.689
839,-5.689,-5.689
840,-5.689,-5.689
841,-5.689,-5.689
842,-5.689,-5.689
843,-5.689,-5.689
844,-5.689,-5.689
845,-5.689,-5.689
846,-5.689,-5.689
847,-5.689,-5.689
848,-5.689,-5.689
849,-5.689,-5.689
850,-5.689,-5.689
851,-5.689,-5.689
852,-5.689,-5.689
853,-5.689,-5.689
854,-5.689,-5.689
855,-5.689,-5.689
856,-5.689,-5.689
857,-5.689,-5.689
858,-5.689,-5.689
859,-5.689,-5.689
860,-5.689,-5.689
861,-5.689,-5.689
862,-5.689,-5.682
863,-5.689,-5.675
864,-5.689,-5.668
865,-5.640,-5.661
866,-5.640,-5.654
867,-5.640,-5.647
868,-5.640,-5.640
869,-5.640,-5.640
870,-5.640,-5.640
871,-5.640,-5.640
872,-5.640,-5.640
873,-5.640,-5.640
874,-5.640,-5.640
875,-5.640,-5.640
876,-5.640,-5.640
877,-5.640,-5.640
878,-5.640,-5.640
879,-5.640,-5.640
880,-5.640,-5.640
881,-5.640,-5.640
882,-5.640,-5.640
883,-5.640,-5.640
884,-5.640,-5.640
885,-5.640,-5.640
886,-5.640,-5.640
887,-5.640,-5.640
888,-5.640,-5.640
889,-5.640,-5.640
890,-5.640,-5.640
891,-5.640,-5.640
892,-5.640,-5.640
893,-5.640,-5.640
894,-5.640,-5.640
895,-5.640,-5.640
896,-5.640,-5.640
897,-5.640,-5.640
898,-5.640,-5.640
899,-5.640,-5.640
900,-5.640,-5.640
901,-5.640,-5.640
902,-5.640,-5.640
903,-5.640,-5.640
904,-5.640,-5.640
905,-5.640,-5.640
906,-5.640,-5.640
907,-5.640,-5.640
908,-5.640,-5.640
909,-5.640,-5.640
910,-5.640,-5.640
911,-5.640,-5.640
912,-5.640,-5.640
913,-5.640,-5.640
914,-5.640,-5.640
915,-5.640,-5.731
916,-5.640,-6.025
917,-5.640,-6.564
918,-6.277,-7.258
919,-7.699,-8.043
920,-9.416,-8.834
921,-10.495,-9.626
922,-11.132,-10.326
923,-11.181,-10.824
924,-11.181,-11.076
925,-11.181,-11.174
926,-11.181,-11.181
927,-11.181,-11.181
928,-11.181,-11.181
929,-11.181,-11.181
930,-11.181,-11.181
931,-11.181,-11.181
932,-11.181,-11.181
933,-11.181,-11.181
934,-11.181,-11.181
935,-11.181,-11.181
936,-11.181,-11.181
937,-11.181,-11.181
938,-11.181,-11.181
939,-11.181,-11.181
940,-11.181,-11.181
941,-11.181,-11.181
942,-11.181,-11.181
943,-11.181,-11.181
944,-11.181,-11.181
945,-11.181,-11.181
946,-11.181,-11.181
947,-11.181,-11.181
948,-11.181,-11.181
949,-11.181,-11.181
950,-11.181,-11.181
951,-11.181,-11.181
952,-11.181,-11.181
953,-11.181,-11.181
954,-11.181,-11.181
955,-11.181,-11.181
956,-11.181,-11.181
957,-11.181,-11.181
958,-11.181,-11.181
959,-11.181,-11.181
960,-11.181,-11.181
961,-11.181,-11.181
962,-11.181,-11.181
963,-11.181,-11.181
964,-11.181,-11.181
965,-11.181,-11.181
966,-11.181,-11.181
967,-11.181,-11.181
968,-11.181,-11.181
969,-11.181,-11.181
970,-11.181,-11.174
971,-11.181,-11.167
